,Unnamed: 0,proteinID,gene_length,pfam_start,pfam_end,s_start,s_end,pfam_e_val,pfam_bit_score,pfamID,pfam_name,pfam_length,organism,seqID,start,end,strand,product_name,genome,pfam_toxity
0,0,2001800446,110,2,94,2,93,5.20E-25,87.6,pfam00893,Multi_Drug_Res,93,Fibrobacter succinogenes S85,fsucc_Contig2370,343764,344096,+,EmrE protein,2001800000,immunity
1,1,2001800837,432,26,211,1,187,1.30E-28,99.7,pfam02321,OEP,188,Fibrobacter succinogenes S85,fsucc_Contig2370,767559,768857,-,Outer membrane efflux protein,2001800000,immunity
2,2,2001800837,432,239,429,1,184,5.20E-21,74.9,pfam02321,OEP,188,Fibrobacter succinogenes S85,fsucc_Contig2370,767559,768857,-,Outer membrane efflux protein,2001800000,immunity
3,3,2001801356,251,31,161,1,123,1.40E-05,25.1,pfam13338,DUF4095,124,Fibrobacter succinogenes S85,fsucc_Contig2370,1377262,1378017,-,Hypothetical protein XCC3118,2001800000,immunity
4,4,2001801356,251,151,219,4,67,2.60E-18,65.4,pfam11459,DUF2893,69,Fibrobacter succinogenes S85,fsucc_Contig2370,1377262,1378017,-,Hypothetical protein XCC3118,2001800000,NA
5,5,2001801660,60,2,52,8,43,1.10E-07,31.2,pfam02604,PhdYeFM_antitox,75,Fibrobacter succinogenes S85,fsucc_Contig2370,1715694,1715876,+,,2001800000,immunity
6,6,2001802121,191,17,137,5,122,6.70E-10,39,pfam13338,DUF4095,124,Fibrobacter succinogenes S85,fsucc_Contig2370,2276012,2276587,-,,2001800000,immunity
7,7,2001802274,85,2,76,2,70,6.50E-14,51.1,pfam02604,PhdYeFM_antitox,75,Fibrobacter succinogenes S85,fsucc_Contig2370,2451587,2451844,+,,2001800000,immunity
8,8,2001802784,471,26,256,2,188,3.00E-25,88.8,pfam02321,OEP,188,Fibrobacter succinogenes S85,fsucc_Contig2370,3010956,3012371,+,Outer membrane efflux protein,2001800000,immunity
9,9,2001802784,471,279,469,2,188,6.90E-29,100.6,pfam02321,OEP,188,Fibrobacter succinogenes S85,fsucc_Contig2370,3010956,3012371,+,Outer membrane efflux protein,2001800000,immunity
